îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
2012/1/1,11.4,-2.5
2012/1/2,8.9,2.5
2012/1/3,8.5,1.1
2012/1/4,8.5,1.2
2012/1/5,7.6,-2.1
2012/1/6,10.6,-2.6
2012/1/7,8.5,0.2
2012/1/8,8.2,-1.8
2012/1/9,11.3,-1.3
2012/1/10,11.4,-2.4
2012/1/11,10.7,0.4
2012/1/12,7.2,-3.2
2012/1/13,11.2,-2.5
2012/1/14,8.3,2
2012/1/15,8.8,-0.6
2012/1/16,6.3,2.2
2012/1/17,10.5,-2.3
2012/1/18,11.2,-5.1
2012/1/19,7.5,-0.5
2012/1/20,9.4,4.8
2012/1/21,8.5,4.9
2012/1/22,11.7,2.1
2012/1/23,10.7,3
2012/1/24,6.6,1.2
2012/1/25,7,0
2012/1/26,6.4,-1.9
2012/1/27,7.3,-2.5
2012/1/28,8.9,-2.3
2012/1/29,6.6,-2
2012/1/30,6.7,-1.8
2012/1/31,7.5,-2.6
2012/2/1,8.2,-4.8
2012/2/2,3.6,-3.5
2012/2/3,5.9,-6.4
2012/2/4,8.7,-3.7
2012/2/5,9,-3.5
2012/2/6,9.1,3.8
2012/2/7,9.9,5
2012/2/8,7.1,-0.1
2012/2/9,6.8,-2.9
2012/2/10,7.6,-3.1
2012/2/11,7.7,-1.9
2012/2/12,8.6,-1.6
2012/2/13,6.5,-0.6
2012/2/14,6.9,2.5
2012/2/15,7.4,1.8
2012/2/16,8.9,-1.5
2012/2/17,7.8,-0.8
2012/2/18,5.2,-1.9
2012/2/19,8,-5
2012/2/20,9.8,-3.9
2012/2/21,9.7,-3
2012/2/22,11.6,1.5
2012/2/23,13.1,7.9
2012/2/24,12.8,3.6
2012/2/25,8.3,2.9
2012/2/26,7.2,-1.5
2012/2/27,6.2,-3.1
2012/2/28,9.1,-4.7
2012/2/29,13.1,2.6
2012/3/1,17,1
2012/3/2,11.4,7.7
2012/3/3,13.9,3.4
2012/3/4,9.8,-0.1
2012/3/5,12.4,9
2012/3/6,18.3,10.4
2012/3/7,13,5.7
2012/3/8,15.1,2.2
2012/3/9,8.5,5.3
2012/3/10,11.7,5.2
2012/3/11,11.5,0.9
2012/3/12,8.8,0.6
2012/3/13,8.8,-0.6
2012/3/14,11.7,-2.7
2012/3/15,11.3,-0.8
2012/3/16,15.2,-2.4
2012/3/17,13.2,8.3
2012/3/18,13.3,7.8
2012/3/19,9.9,1.4
2012/3/20,13,-1.9
2012/3/21,13,-0.4
2012/3/22,15.7,-1.4
2012/3/23,11.4,7.4
