îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
2012/3/24,13.9,5.7
2012/3/25,11.9,3.8
2012/3/26,10.3,0
2012/3/27,14.3,-1
2012/3/28,16.4,1.1
2012/3/29,18.3,-0.3
2012/3/30,21.2,2.8
2012/3/31,14.9,1.3
2012/4/1,12.7,0.6
2012/4/2,18.6,-0.1
2012/4/3,16.4,6.6
2012/4/4,14.9,5
2012/4/5,18.1,7.1
2012/4/6,11,2.8
2012/4/7,11.4,0.4
2012/4/8,15.9,-1.7
2012/4/9,21.7,2
2012/4/10,22.4,6
2012/4/11,16.4,12.2
2012/4/12,22.3,11
2012/4/13,19.9,9.1
2012/4/14,16.7,6.5
2012/4/15,19.9,3.6
2012/4/16,20.3,8.1
2012/4/17,22.2,5.9
2012/4/18,23.2,4.7
2012/4/19,24.8,6.4
2012/4/20,17,13.6
2012/4/21,21.3,11.7
2012/4/22,16.9,14.1
2012/4/23,24.8,12.7
2012/4/24,26.6,9.5
2012/4/25,27.5,11.3
2012/4/26,20,12.8
2012/4/27,24.1,8.9
2012/4/28,30.6,5.8
2012/4/29,28.6,10.8
2012/4/30,22.8,16
2012/5/1,23.4,19.4
2012/5/2,21,18.4
2012/5/3,24.1,14.9
2012/5/4,20.3,15
2012/5/5,26,11.8
2012/5/6,22.5,10.5
2012/5/7,25.2,8.7
2012/5/8,26.9,10.6
2012/5/9,25.2,12.2
2012/5/10,22.4,10.8
2012/5/11,16.8,10.9
2012/5/12,17.7,8.1
2012/5/13,23.2,4.3
2012/5/14,27.1,8.2
2012/5/15,18.9,15.6
2012/5/16,26.1,12.7
2012/5/17,28.4,12.2
2012/5/18,22.9,11.4
2012/5/19,26.8,8.4
2012/5/20,23.5,14.2
2012/5/21,26,15.6
2012/5/22,23,14.2
2012/5/23,26.7,11
2012/5/24,27,9.5
2012/5/25,21.3,12.8
2012/5/26,27.9,11.6
2012/5/27,30.3,12.8
2012/5/28,29.4,14.8
2012/5/29,27.4,13.8
2012/5/30,23.4,12
2012/5/31,27.4,14
2012/6/1,29.6,17.3
2012/6/2,27.1,16.9
2012/6/3,26.1,15.7
2012/6/4,29,14
2012/6/5,22.7,17.6
2012/6/6,29.8,18.7
2012/6/7,30.4,16
2012/6/8,29.3,18
2012/6/9,23.6,18.6
2012/6/10,25.6,16.6
2012/6/11,28.2,14.8
2012/6/12,22.2,18.1
2012/6/13,26.9,17.1
2012/6/14,30,15.7
2012/6/15,27.4,17.5
2012/6/16,25.4,19.1
2012/6/17,29.6,21.1
2012/6/18,29.9,19.5
2012/6/19,25.8,21.9
2012/6/20,27.2,20.6
2012/6/21,20.9,18
2012/6/22,26.3,17.5
2012/6/23,27,15.3
2012/6/24,29,17.6
2012/6/25,28.6,18.7
2012/6/26,27.4,17
2012/6/27,26.7,16.4
2012/6/28,25.8,20
2012/6/29,32.6,16.8
2012/6/30,30.1,20.6
2012/7/1,26.2,22.2
2012/7/2,31.8,21.5
2012/7/3,24.9,21.5
2012/7/4,30.5,19.5
2012/7/5,26.1,22.7
2012/7/6,29.5,22.7
2012/7/7,27.7,20
2012/7/8,28.3,18.5
2012/7/9,32.6,18.9
2012/7/10,32.6,20.6
2012/7/11,30.9,20.8
2012/7/12,29.7,24.3
2012/7/13,31.5,24.1
2012/7/14,32.9,23.6
2012/7/15,35.4,24.5
2012/7/16,35,24.1
2012/7/17,36,24.2
2012/7/18,35.4,23.7
2012/7/19,34.1,23.4
2012/7/20,30.8,24.9
2012/7/21,32.4,22.7
2012/7/22,32.2,21.7
2012/7/23,32.6,23.2
2012/7/24,34.4,22.8
2012/7/25,35.2,24
2012/7/26,35.8,25
2012/7/27,37.2,24.6
2012/7/28,37.2,24.2
2012/7/29,36.9,25.2
2012/7/30,37,26
2012/7/31,34.4,23.5
2012/8/1,32.9,26.4
2012/8/2,35.1,25.1
2012/8/3,34.5,26.1
2012/8/4,33.2,23.7
2012/8/5,33.1,25.9
2012/8/6,36.2,25.4
2012/8/7,35.9,24.2
2012/8/8,33.6,20.7
2012/8/9,34.3,19.2
2012/8/10,35.8,22.9
2012/8/11,32.6,24.4
2012/8/12,35.6,23
2012/8/13,33.9,24.7
2012/8/14,28.5,23.2
2012/8/15,32,23.9
2012/8/16,35.3,22.8
2012/8/17,36.5,24.1
2012/8/18,35.1,23.1
2012/8/19,34,22.4
2012/8/20,34.3,23.2
2012/8/21,34.3,22.8
2012/8/22,34.8,23.7
2012/8/23,35,23.7
2012/8/24,32.2,22.5
2012/8/25,34.9,21.3
2012/8/26,33.5,22.4
2012/8/27,33.5,23.8
2012/8/28,32.8,24.4
2012/8/29,31.2,24.6
2012/8/30,34.9,25.5
2012/8/31,35.5,23.4
2012/9/1,33,23.5
2012/9/2,32.9,22.8
2012/9/3,32.5,21.5
2012/9/4,31.5,22.2
2012/9/5,34.1,22.9
2012/9/6,31.3,21.6
2012/9/7,34.1,21.1
2012/9/8,30.1,22.6
2012/9/9,32.9,22
2012/9/10,33.4,22
2012/9/11,30,21.1
2012/9/12,32.2,19.2
2012/9/13,33.1,20.2
2012/9/14,32.3,22.8
2012/9/15,32.7,22.3
2012/9/16,31.4,22.4
2012/9/17,32.8,24.2
2012/9/18,27.1,23.8
2012/9/19,31,21.9
2012/9/20,28.7,19.8
2012/9/21,29.6,19.4
2012/9/22,29.4,18.7
2012/9/23,24.1,17.8
2012/9/24,26.7,17
2012/9/25,29.6,15.8
2012/9/26,29.1,14.9
2012/9/27,29,14.9
2012/9/28,30.2,14.6
2012/9/29,27.6,17.4
2012/9/30,22.6,18.7
2012/10/1,25.4,16.5
2012/10/2,27.1,15.2
2012/10/3,28.5,16.9
2012/10/4,24,16.5
2012/10/5,26.6,13.9
2012/10/6,27,14.2
2012/10/7,24.8,13.1
2012/10/8,25.5,11.7
2012/10/9,26.2,13.3
2012/10/10,26,13.5
2012/10/11,24.8,16.5
2012/10/12,22.9,9.8
2012/10/13,23.9,8.3
2012/10/14,23,12.1
2012/10/15,25.9,9.6
2012/10/16,26.2,10.1
2012/10/17,21.5,17.3
2012/10/18,18.1,14
2012/10/19,21,9.7
2012/10/20,23.1,8
2012/10/21,24.8,10
2012/10/22,26.1,9.3
2012/10/23,18.6,12.1
2012/10/24,19.7,7.8
2012/10/25,21.6,8.7
2012/10/26,23,6.9
2012/10/27,23.8,8.3
2012/10/28,19.6,13.4
2012/10/29,21,8.3
2012/10/30,19,6.5
2012/10/31,18.7,7.9
2012/11/1,18.8,9.4
2012/11/2,16.1,5.6
2012/11/3,16.8,7.9
2012/11/4,17.1,4.4
2012/11/5,19.6,9
2012/11/6,19.8,8.3
2012/11/7,18.9,6.2
2012/11/8,19.1,6.6
2012/11/9,18.6,7.7
2012/11/10,17.2,5.1
2012/11/11,16.4,7.7
2012/11/12,17.8,6.3
2012/11/13,17.1,5
2012/11/14,14.3,6.9
2012/11/15,11.4,4.7
2012/11/16,15.6,3.1
2012/11/17,12.7,8.2
2012/11/18,15,8.3
2012/11/19,16.1,3.1
2012/11/20,14.6,7.5
2012/11/21,13.8,6.2
2012/11/22,15.3,7.2
2012/11/23,13.3,9
2012/11/24,12.3,2.3
2012/11/25,14.7,-0.6
2012/11/26,12,7.4
2012/11/27,10.5,1.2
2012/11/28,12.4,-0.7
2012/11/29,13.3,1.1
2012/11/30,14.4,2.6
2012/12/1,10.7,2.4
2012/12/2,8.7,1.5
2012/12/3,13.1,-0.7
2012/12/4,12,2.9
2012/12/5,9.3,-1.2
2012/12/6,9.8,-0.8
2012/12/7,9.2,-2.4
2012/12/8,10.9,-1.1
2012/12/9,7.7,-1.7
2012/12/10,7.9,-2.2
2012/12/11,10.2,-3.7
2012/12/12,9.3,-2.7
2012/12/13,11,-2.8
2012/12/14,11.9,-4
2012/12/15,14,6.5
2012/12/16,13.9,3.5
2012/12/17,13.4,0.8
2012/12/18,11.4,3.7
2012/12/19,7.3,-1.2
2012/12/20,9.6,-2.9
2012/12/21,8.6,-1.2
2012/12/22,11.4,4.7
2012/12/23,10.7,0.4
2012/12/24,5.3,-0.7
2012/12/25,7.6,-4.4
2012/12/26,7.2,-1.9
2012/12/27,6,-3.6
2012/12/28,6.1,-3.6
2012/12/29,13.5,4.6
2012/12/30,9.9,7
2012/12/31,7.4,-1.9
